Ticker,Weight
GOOG,-1.6285880180456462e-16
AAPL,1.0
FB,2.191606852561557e-17
BABA,-1.0124064131461557e-17
AMZN,-1.3916380145136578e-17
GE,1.1442561056083097e-16
AMD,4.264219565108988e-17
WMT,7.799177429028854e-17
BAC,4.332607348389498e-17
GM,-1.4737753591538713e-17
T,-2.5313534008420368e-17
UAA,4.179604118718946e-18
SHLD,-1.508797187702567e-17
XOM,3.734143177804278e-17
RRC,-1.5001340555997313e-17
BBY,2.690350715216003e-17
MA,-6.492230475356763e-18
PFE,-5.680259372937487e-17
JPM,-6.88708619850413e-17
SBUX,-5.2353979300927e-17
